   2933 
    125 IPR001680	WD40 repeat
      2 IPR004342	EXS, C-terminal
      2 IPR004226	Tubulin binding cofactor A
      2 IPR004160	Translation elongation factor EFTu/EF1A, C-terminal
      2 IPR004154	Anticodon-binding
      2 IPR004153	CXCXC repeat
      2 IPR004148	BAR domain
      2 IPR004045	Glutathione S-transferase, N-terminal
      2 IPR003595	Protein-tyrosine phosphatase, catalytic
      2 IPR003578	Small GTPase Rho
      2 IPR003191	Guanylate-binding protein/Atlastin, C-terminal
      2 IPR003172	MD-2-related lipid-recognition domain
      2 IPR002913	START domain
      2 IPR002809	Integral membrane protein EMC3/TMCO1-like
      2 IPR002666	Reduced folate carrier
      2 IPR002553	Clathrin/coatomer adaptor, adaptin-like, N-terminal
      2 IPR002547	tRNA-binding domain
      2 IPR002475	Bcl2-like
      2 IPR002423	Chaperonin Cpn60/TCP-1 family
      2 IPR002420	Phosphatidylinositol 3-kinase, C2 domain
      2 IPR002300	Aminoacyl-tRNA synthetase, class Ia
      2 IPR002220	DapA-like
      2 IPR002123	Phospholipid/glycerol acyltransferase
      2 IPR002083	MATH/TRAF domain
      2 IPR002077	Voltage-dependent calcium channel, alpha-1 subunit
      2 IPR002049	Laminin EGF domain
      2 IPR002017	Spectrin repeat
      2 IPR001936	Ras GTPase-activating domain
      2 IPR001930	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase
      2 IPR001891	Malic oxidoreductase
      2 IPR001863	Glypican
      2 IPR001820	Protease inhibitor I35 (TIMP)
      2 IPR001763	Rhodanese-like domain
      2 IPR001747	Lipid transport protein, N-terminal
      2 IPR001660	Sterile alpha motif domain
      2 IPR001619	Sec1-like protein
      2 IPR001610	PAC motif
      2 IPR001605	Pleckstrin homology domain, spectrin-type
      2 IPR001347	Sugar isomerase (SIS)
      2 IPR001293	Zinc finger, TRAF-type
      2 IPR001263	Phosphoinositide 3-kinase, accessory (PIK) domain
      2 IPR001233	RNA-splicing ligase, RtcB
      2 IPR001208	MCM domain
      2 IPR001206	Diacylglycerol kinase, catalytic domain
      2 IPR001163	LSM domain, eukaryotic/archaea-type
      2 IPR000999	Ribonuclease III domain
      2 IPR000980	SH2 domain
      2 IPR000971	Globin
      2 IPR000945	Dopamine beta-hydroxylase-like
      2 IPR000873	AMP-dependent synthetase/ligase
      2 IPR000857	MyTH4 domain
      2 IPR000705	Galactokinase
      2 IPR000648	Oxysterol-binding protein
      2 IPR000640	Elongation factor EFG, domain V-like
      2 IPR000536	Nuclear hormone receptor, ligand-binding domain
      2 IPR000488	Death domain
      2 IPR000387	Tyrosine specific protein phosphatases domain
      2 IPR000219	Dbl homology (DH) domain
      2 IPR000109	Proton-dependent oligopeptide transporter family
      2 IPR000082	SEA domain
      2 IPR000014	PAS domain
      1 IPR044034	Nascent polypeptide-associated complex subunit alpha-like, UBA domain
      1 IPR043988	CCZ1/INTU, second Longin domain
      1 IPR043926	ABC transporter family G domain
      1 IPR043565	PAX family
      1 IPR043555	Sushi repeat-containing protein SRPX-like
      1 IPR043541	Synaptotagmin-14/14L/16
      1 IPR043502	DNA/RNA polymerase superfamily
      1 IPR043384	Reticulophagy receptor 1/3
      1 IPR043211	TNF receptor-associated factor TRAF
      1 IPR043162	Dedicator of cytokinesis, C-terminal, lobe C
      1 IPR043129	ATPase, nucleotide binding domain
      1 IPR043127	Sec1-like, domain 3a
      1 IPR043041	Phospholipase B-like, domain 2
      1 IPR043016	IFT81, N-terminal domain superfamily
      1 IPR042990	StAR-related lipid transfer protein 9
      1 IPR042846	BTB/POZ domain-containing protein 19
      1 IPR042634	Homeobox protein MOX-1/MOX-2
      1 IPR042618	Dynein regulatory complex protein 9
      1 IPR042236	Phosphoinositide 3-kinase, accessory (PIK) domain superfamily
      1 IPR042231	Choline/Carnitine o-acyltransferase, domain 2
      1 IPR042185	Serpin superfamily, domain 2
      1 IPR042178	Serpin superfamily, domain 1
      1 IPR042098	Taurine dioxygenase TauD-like superfamily
      1 IPR041728	GPAT/DHAPAT, acyltransferase domain
      1 IPR041681	Pleckstrin homology domain 9
      1 IPR041637	Caprin-1 dimerization domain
      1 IPR041569	AAA ATPase, AAA+ lid domain
      1 IPR041562	MCM, AAA-lid domain
      1 IPR041476	TRAF3-interacting protein 1, C-terminal domain
      1 IPR041373	Reverse transcriptase, RNase H-like domain
      1 IPR041174	Krr1, KH1 domain
      1 IPR041146	IFT81, calponin homology domain
      1 IPR040930	AF-9, ANC1 homology domain
      1 IPR040546	Rege-1, UBA-like domain
      1 IPR040379	WD repeat-containing protein 19/dyf-2
      1 IPR040213	GIR2-like
      1 IPR040177	Zinc transporter 9
      1 IPR040168	Not2/Not3/Not5
      1 IPR040122	Importin beta family
      1 IPR040055	28S ribosomal protein S10, mitochondrial
      1 IPR040049	28S ribosomal protein S25, mitochondrial
      1 IPR040024	Protein phosphatase 1 regulatory subunit 21
      1 IPR039979	Pre-mRNA-splicing factor 18
      1 IPR039948	Elongin-C
      1 IPR039918	Serine/threonine-protein phosphatase 4 regulatory subunit 4
      1 IPR039912	Pre-rRNA-processing protein PNO1-like
      1 IPR039867	Protein furry/Tao3/Mor2
      1 IPR039801	Epidermal growth factor receptor kinase substrate 8-like
      1 IPR039794	Glucosidase II beta subunit-like
      1 IPR039785	Deubiquitinating enzyme MINDY-3/4
      1 IPR039774	Transcriptional regulatory protein Sin3-like
      1 IPR039757	Eukaryotic translation initiation factor 2D
      1 IPR039727	SERRATE/Ars2
      1 IPR039726	Pre-mRNA-processing factor Prp40
      1 IPR039707	Macrophage-expressed gene 1 protein
      1 IPR039670	Sterol transport protein NPC2-like
      1 IPR039587	TMEM248/TMEM219 domain
      1 IPR039551	Choline/carnitine acyltransferase domain
      1 IPR039493	TMEM248/TMEM219
      1 IPR039361	Cyclin
      1 IPR039360	Ras GTPase-activating protein
      1 IPR039253	Aprataxin and PNK-like factor
      1 IPR039250	CREBL2/REPTOR-BP
      1 IPR039181	EIG121-like
      1 IPR039165	CREB3 regulatory factor
      1 IPR039156	UPF0183/Protein broad-minded
      1 IPR039151	Protein inturned
      1 IPR039150	Transcription elongation factor, mitochondrial
      1 IPR039133	E3 ubiquitin-protein ligase RNF25
      1 IPR039100	Ribosome maturation protein Sdo1/SBDS-like
      1 IPR039030	Calmodulin
      1 IPR039016	Reversion-inducing cysteine-rich protein with Kazal motifs
      1 IPR038775	Testis-expressed protein 49
      1 IPR038737	Splicing factor 3B subunit 1-like
      1 IPR038716	Ribosomal protein P1/P2, N-terminal domain
      1 IPR038547	CBP/p300, atypical RING domain superfamily
      1 IPR038499	BRO1 domain superfamily
      1 IPR038492	GBBH-like, N-terminal domain superfamily
      1 IPR038348	SLED domain superfamily
      1 IPR038322	Pex19, C-terminal domain superfamily
      1 IPR038286	Inositol polyphosphate kinase superfamily
      1 IPR038227	PCGF Ub-like fold discriminator superfamily
      1 IPR038217	MRG, C-terminal domain superfamily
      1 IPR038187	NAC A/B domain superfamily
      1 IPR038185	MyTH4 domain superfamily
      1 IPR038095	Costars domain superfamily
      1 IPR037969	Transcriptional regulatory protein Sin3a
      1 IPR037916	SNX29, PX domain
      1 IPR037898	NudC family
      1 IPR037769	Abr/Bcr
      1 IPR037746	Protein Dok-7
      1 IPR037626	Nucleoporin Nup37
      1 IPR037571	Mannan-binding lectin-associated serine peptidase 2
      1 IPR037518	MPN domain
      1 IPR037438	Talin-1/2, rod-segment
      1 IPR037366	BOULE/DAZ family
      1 IPR037352	Polycomb protein EED
      1 IPR037272	Sodium:neurotransmitter symporter superfamily
      1 IPR037239	Oxysterol-binding protein superfamily
      1 IPR037192	ERO1-like superfamily
      1 IPR037171	NagB/RpiA transferase-like
      1 IPR037152	L-asparaginase, N-terminal domain superfamily
      1 IPR037151	Alpha-ketoglutarate-dependent dioxygenase AlkB-like superfamily
      1 IPR037138	Histone deacetylase domain superfamily
      1 IPR037124	GroES chaperonin superfamily
      1 IPR037073	Nuclear receptor coactivator, CREB-bp-like, interlocking domain superfamily
      1 IPR037067	Coatomer, gamma subunit, appendage domain superfamily
      1 IPR037062	Malic enzyme, N-terminal domain superfamily
      1 IPR037059	Rel homology domain (RHD), DNA-binding domain superfamily
      1 IPR037033	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain superfamily
      1 IPR037013	Glutathione synthase, substrate-binding domain superfamily
      1 IPR036964	Ras guanine-nucleotide exchange factor catalytic domain superfamily
      1 IPR036939	Copper type II, ascorbate-dependent monooxygenase, N-terminal domain superfamily
      1 IPR036936	CRIB domain superfamily
      1 IPR036607	Glucosidase 2 subunit beta-like
      1 IPR036529	Coactivator CBP, KIX domain superfamily
      1 IPR036514	SGNH hydrolase superfamily
      1 IPR036438	Insulin-like superfamily
      1 IPR036412	HAD-like superfamily
      1 IPR036410	Heat shock protein DnaJ, cysteine-rich domain superfamily
      1 IPR036317	Cullin homology domain superfamily
      1 IPR036250	Acyl-CoA dehydrogenase-like, C-terminal
      1 IPR036219	Translation elongation factor eEF-1beta-like superfamily
      1 IPR036186	Serpin superfamily
      1 IPR036161	RPB6/omega subunit-like superfamily
      1 IPR036155	Cryptochrome/photolyase, N-terminal domain superfamily
      1 IPR036152	Asparaginase/glutaminase-like superfamily
      1 IPR036126	Tubulin binding cofactor A superfamily
      1 IPR036058	Kazal domain superfamily
      1 IPR036053	PABC (PABP) domain
      1 IPR036047	F-box-like domain superfamily
      1 IPR036045	Sec1-like superfamily
      1 IPR036002	Stathmin superfamily
      1 IPR035987	Ribosomal protein S8 superfamily
      1 IPR035963	FERM superfamily, second domain
      1 IPR035824	Endophilin-A, SH3 domain
      1 IPR035706	Dynein heavy chain, ATP-binding dynein motor region
      1 IPR035655	116kDa U5 small nuclear ribonucleoprotein component, C-terminal
      1 IPR035647	EF-G domain III/V-like
      1 IPR035490	GlmS/FrlB, SIS domain 2
      1 IPR035425	CENP-T/Histone H4, histone fold
      1 IPR035299	26S Proteasome non-ATPase regulatory subunit 14
      1 IPR034421	Probable RNA-binding protein 19, RNA recognition motif 6
      1 IPR034308	Vacuolar protein sorting-assoociated protein 70
      1 IPR034085	TOG domain
      1 IPR034078	Transcription factor NFX1 family
      1 IPR034016	Aminopeptidase N-type
      1 IPR033923	p21 activated kinase binding domain
      1 IPR033922	NAD(P) binding domain of glutamate dehydrogenase
      1 IPR033916	Npc2 like, ML domain
      1 IPR033720	Elongation factor Tu, domain 2
      1 IPR033690	Adenylate kinase, conserved site
      1 IPR033614	C-terminal RASSF family
      1 IPR033468	Metaxin, glutathione S-transferase domain
      1 IPR033446	Zinc finger domain-containing protein 24, zinc-binding domain
      1 IPR033113	Phospholipase A2, histidine active site
      1 IPR033111	APOBEC1 complementation factor
      1 IPR033085	Protein ERGIC-53
      1 IPR033082	Death-inducer obliterator 1
      1 IPR033015	Cilia- and flagella-associated protein 52
      1 IPR032922	Protein SON
      1 IPR032914	Vam6/VPS39/TRAP1 family
      1 IPR032913	Beclin-1
      1 IPR032860	RNA demethylase ALKBH5
      1 IPR032832	E3 ubiquitin-protein ligase synoviolin/Hrd1
      1 IPR032678	tRNA synthetases class I, catalytic domain
      1 IPR032503	FAD dependent oxidoreductase, central domain
      1 IPR032466	Metal-dependent hydrolase
      1 IPR032421	Protein O-mannosyl-transferase, C-terminal four TM domain
      1 IPR032365	BCL-6 corepressor, PCGF1 binding domain
      1 IPR032270	AMPK, C-terminal adenylate sensor domain
      1 IPR032154	Coatomer subunit gamma, C-terminal
      1 IPR032108	CLIP1, zinc knuckle
      1 IPR032106	2-oxoglutarate dehydrogenase E1 component, N-terminal domain
      1 IPR031981	Mitochondria-eating protein, C-terminal domain
      1 IPR031963	Histone deacetylase complex subunit SAP130, C-terminal domain
      1 IPR031941	Domain of unknown function DUF4773
      1 IPR031727	Galactose mutarotase, N-terminal barrel
      1 IPR031693	Sin3, C-terminal
      1 IPR031675	Serine-threonine protein phosphatase, N-terminal
      1 IPR031657	Replication protein A, OB domain
      1 IPR031645	Vacuolar protein sorting-associated protein 13, C-terminal
      1 IPR031476	Protein of unknown function DUF4686
      1 IPR031327	Mini-chromosome maintenance protein
      1 IPR031318	OPI10 family
      1 IPR031312	Sodium/sulphate symporter, conserved site
      1 IPR031226	Probable ubiquitin carboxyl-terminal hydrolase FAF-X
      1 IPR031180	Glypican-4
      1 IPR030739	Rap guanine nucleotide exchange factor 2
      1 IPR030555	Huntingtin-interacting protein 1-related protein
      1 IPR030544	Clathrin interactor 1
      1 IPR030516	Protein SFI1 homologue
      1 IPR030503	Nuclear factor NF-kappa-B, p105 subunit
      1 IPR030492	Rel homology domain, conserved site
      1 IPR030456	Fork head domain conserved site 2
      1 IPR030386	GB1/RHD3-type guanine nucleotide-binding (G) domain
      1 IPR030365	ATP-binding cassette subfamily A member 1
      1 IPR030320	Plasma membrane calcium-transporting ATPase 1
      1 IPR030030	Scaffold protein salvador
      1 IPR029933	Uridine-cytidine kinase-like 1
      1 IPR029919	Protein flightless-1
      1 IPR029766	Capping protein, Arp2/3 and myosin-I linker protein 3
      1 IPR029760	Glutathione peroxidase conserved site
      1 IPR029704	UPF0428 family
      1 IPR029650	NADPH oxidase 1
      1 IPR029600	Intraflagellar transport protein 81
      1 IPR029473	Cell morphogenesis central region
      1 IPR029446	Coatomer beta subunit, appendage platform domain
      1 IPR029318	Beclin-1, BH3 domain
      1 IPR029052	Metallo-dependent phosphatase-like
      1 IPR029045	ClpP/crotonase-like domain superfamily
      1 IPR029035	DHS-like NAD/FAD-binding domain superfamily
      1 IPR028920	Tox-ART-HYD1 domain
      1 IPR028895	Cyclin-G2
      1 IPR028889	Ubiquitin specific protease domain
      1 IPR028816	Caprin
      1 IPR028741	Serine/threonine-protein kinase LATS1
      1 IPR028689	Synaptotagmin-5
      1 IPR028587	Adenylate kinase 2
      1 IPR028570	Rho GDP/GTP exchange factor Kalirin/TRIO
      1 IPR028427	Peptide methionine sulfoxide reductase
      1 IPR028375	KA1 domain/Ssp2, C-terminal
      1 IPR028363	DNA-directed RNA polymerase, subunit  RPB6
      1 IPR028271	RNA guanine-N7 methyltransferase activating subunit
      1 IPR028064	Transmembrane protein 154
      1 IPR027936	Ephrin receptor, transmembrane domain
      1 IPR027873	Protein PAXX
      1 IPR027799	Replication termination factor 2, RING-finger
      1 IPR027791	Galactosyltransferase, C-terminal
      1 IPR027681	I-BAR domain containing protein IRSp53/IRTKS/Pinkbar
      1 IPR027652	Pre-mRNA-processing-splicing factor 8
      1 IPR027534	Ribosomal protein L12/P1/P2 family
      1 IPR027475	Asparaginase/glutaminase, active site 2
      1 IPR027474	L-asparaginase, N-terminal
      1 IPR027450	Alpha-ketoglutarate-dependent dioxygenase AlkB-like
      1 IPR027410	TCP-1-like chaperonin intermediate domain superfamily
      1 IPR027387	Cytochrome b/b6-like domain superfamily
      1 IPR027377	Zinc-binding domain
      1 IPR027359	Voltage-dependent channel domain superfamily
      1 IPR027357	DHR-2 domain
      1 IPR027266	GTP-binding protein TrmE/Glycine cleavage system T protein, domain 1
      1 IPR027159	Nuclear cap-binding protein subunit 1
      1 IPR027157	Nuclear cap-binding protein subunit 2
      1 IPR027005	Glycosyltransferase 39-like
      1 IPR026791	Dedicator of cytokinesis
      1 IPR026739	AP complex subunit beta
      1 IPR026720	Cilia- and flagella-associated protein 91
      1 IPR026669	Arsenite methyltransferase-like
      1 IPR026300	CWF11 family
      1 IPR026169	Mitochondria-eating protein
      1 IPR026111	Actin-binding Rho-activating protein
      1 IPR026088	Niban-like
      1 IPR026055	Fatty acyl-CoA reductase
      1 IPR025995	RNA binding activity-knot of a chromodomain
      1 IPR025852	Ataxin 2, SM domain
      1 IPR025829	Zinc knuckle CX2CX3GHX4C
      1 IPR025755	60S ribosomal protein L4, C-terminal domain
      1 IPR025663	A-kinase anchor protein 28kDa
      1 IPR025607	Ribosomal protein L5 eukaryotic/L18 archaeal, C-terminal
      1 IPR025483	Lipase, eukaryotic
      1 IPR025257	Deubiquitinating enzyme MINDY-3/4, conserved domain
      1 IPR024969	Rpn11/EIF3F, C-terminal
      1 IPR024964	CTLH/CRA C-terminal to LisH motif domain
      1 IPR024945	Spt5 C-terminal domain
      1 IPR024936	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
      1 IPR024909	Cysteinyl-tRNA synthetase/mycothiol ligase
      1 IPR024607	Sulfatase, conserved site
      1 IPR024372	Proteasome component Ecm29
      1 IPR024317	Dynein heavy chain, AAA module D4
      1 IPR024137	Histone deacetylase complex subunit SAP130
      1 IPR024111	Peroxisomal targeting signal 1 receptor family
      1 IPR024034	ATPase, F1/V1 complex, beta/alpha subunit, C-terminal
      1 IPR023801	Histone deacetylase domain
      1 IPR023754	Heme A synthase, type 2
      1 IPR023696	Ureohydrolase domain superfamily
      1 IPR023578	Ras guanine nucleotide exchange factor domain superfamily
      1 IPR023561	Carbonic anhydrase, alpha-class
      1 IPR023530	Cytochrome b6, PetB
      1 IPR023346	Lysozyme-like domain superfamily
      1 IPR023329	Chlorophyll a/b binding domain superfamily
      1 IPR023302	Peptidase S9A, N-terminal domain
      1 IPR023299	P-type ATPase, cytoplasmic domain N
      1 IPR023298	P-type ATPase, transmembrane domain superfamily
      1 IPR023210	NADP-dependent oxidoreductase domain
      1 IPR023184	Ubiquinol-cytochrome C reductase hinge domain
      1 IPR023152	Ras GTPase-activating protein, conserved site
      1 IPR022878	V-type ATP synthase catalytic alpha chain
      1 IPR022812	Dynamin superfamily
      1 IPR022796	Chlorophyll A-B binding protein
      1 IPR022353	Insulin, conserved site
      1 IPR022284	Glycerol-3-phosphate O-acyltransferase/Dihydroxyacetone phosphate acyltransferase
      1 IPR022075	Symplekin  C-terminal
      1 IPR021987	SLED domain
      1 IPR021183	N-terminal acetyltransferase A, auxiliary subunit
      1 IPR021040	LRRC8, pannexin-like TM region
      1 IPR020892	Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site
      1 IPR020846	Major facilitator superfamily domain
      1 IPR020708	DNA-directed RNA polymerase, 14-18kDa subunit, conserved site
      1 IPR020616	Thiolase, N-terminal
      1 IPR020615	Thiolase, acyl-enzyme intermediate active site
      1 IPR020550	Inositol monophosphatase, conserved site
      1 IPR020003	ATPase, alpha/beta subunit, nucleotide-binding domain, active site
      1 IPR019985	Ribosomal protein L23
      1 IPR019821	Kinesin motor domain, conserved site
      1 IPR019809	Histone H4, conserved site
      1 IPR019786	Zinc finger, PHD-type, conserved site
      1 IPR019741	Galactokinase, conserved site
      1 IPR019581	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
      1 IPR019580	Pre-mRNA-processing-splicing factor 8, U6-snRNA-binding
      1 IPR019561	Translocon Sec61/SecY, plug domain
      1 IPR019539	Galactokinase, N-terminal  domain
      1 IPR019474	Ubiquitin conjugation factor E4, core
      1 IPR019355	Cell cycle regulator Mat89Bb
      1 IPR019348	Uncharacterised domain KLRAQ/TTKRSYEDQ, C-terminal
      1 IPR019087	Mediator of RNA polymerase II transcription subunit 15
      1 IPR018978	Ribosome maturation protein SBDS, C-terminal
      1 IPR018799	TRAF3-interacting protein 1
      1 IPR018499	Tetraspanin/Peripherin
      1 IPR018369	Chaperonin GroES, conserved site
      1 IPR018338	Carbonic anhydrase, alpha-class, conserved site
      1 IPR018321	Glucosamine-6-phosphate isomerase, conserved site
      1 IPR018303	P-type ATPase, phosphorylation site
      1 IPR018253	DnaJ domain, conserved site
      1 IPR018159	Spectrin/alpha-actinin
      1 IPR017853	Glycoside hydrolase superfamily
      1 IPR017233	WD repeat protein 35
      1 IPR017131	Small ribonucleoprotein associated, SmB/SmN
      1 IPR017106	Coatomer gamma subunit
      1 IPR016460	Coatomer beta subunit (COPB1)
      1 IPR016439	Sphingosine N-acyltransferase Lag1/Lac1-like
      1 IPR016197	Chromo-like domain superfamily
      1 IPR016174	Di-haem cytochrome, transmembrane
      1 IPR016162	Aldehyde dehydrogenase, N-terminal
      1 IPR016161	Aldehyde/histidinol dehydrogenase
      1 IPR016159	Cullin repeat-like-containing domain superfamily
      1 IPR016157	Cullin, conserved site
      1 IPR016129	Peptidase family C14A, His active site
      1 IPR016073	SKP1 component, POZ domain
      1 IPR016064	NAD kinase/diacylglycerol kinase-like domain superfamily
      1 IPR015940	Ubiquitin-associated domain
      1 IPR015767	Rho GTPase activating protein 27
      1 IPR015712	DNA-directed RNA polymerase, subunit 2
      1 IPR015655	Protein phosphatase 2C family
      1 IPR015526	Frizzled/secreted frizzled-related protein
      1 IPR015506	Dishevelled-related protein
      1 IPR015505	Coronin
      1 IPR015482	Syntrophin
      1 IPR015353	Rubisco LSMT, substrate-binding domain
      1 IPR015255	Vitellinogen, open beta-sheet
      1 IPR015174	MIF4G-like, type 2
      1 IPR015016	Splicing factor 3B subunit 1
      1 IPR015009	Vinculin-binding site-containing domain
      1 IPR014784	Copper type II, ascorbate-dependent monooxygenase-like, C-terminal
      1 IPR014782	Peptidase M1, membrane alanine aminopeptidase
      1 IPR014756	Immunoglobulin E-set
      1 IPR014717	Translation elongation factor EF1B/ribosomal protein S6
      1 IPR014352	FERM/acyl-CoA-binding protein superfamily
      1 IPR014049	Glutathione synthase, N-terminal, eukaryotic
      1 IPR014042	Glutathione synthase, alpha-helical
      1 IPR014010	REJ domain
      1 IPR013957	U4/U6.U5 small nuclear ribonucleoprotein 27kDa protein
      1 IPR013947	Mediator complex, subunit Med14
      1 IPR013830	SGNH hydrolase-type esterase domain
      1 IPR013762	Integrase-like, catalytic domain superfamily
      1 IPR013713	Exportin-2, central domain
      1 IPR013606	IMD/I-BAR domain
      1 IPR013321	Arc-type ribbon-helix-helix
      1 IPR013233	Glycosylphosphatidylinositol-mannosyltransferase I, PIG-X/PBN1
      1 IPR013149	Alcohol dehydrogenase, C-terminal
      1 IPR013144	CRA domain
      1 IPR013121	Ferric reductase, NAD binding domain
      1 IPR013120	Fatty acyl-coenzyme A reductase, NAD-binding domain
      1 IPR013088	Zinc finger, NHR/GATA-type
      1 IPR013078	Histidine phosphatase superfamily, clade-1
      1 IPR013041	Clathrin adaptor, appendage, Ig-like subdomain superfamily
      1 IPR013040	Coatomer, gamma subunit, appendage, Ig-like subdomain
      1 IPR013000	Ribosomal protein L4/L1e, eukaryotic/archaeal, conserved site
      1 IPR012921	Spen paralogue and orthologue SPOC, C-terminal
      1 IPR012678	Ribosomal protein L23/L15e core domain superfamily
      1 IPR012293	RNA polymerase subunit, RPB6/omega
      1 IPR012292	Globin/Protoglobin
      1 IPR012227	TNF receptor-associated factor TRAF, metazoa
      1 IPR011765	Peptidase M16, N-terminal
      1 IPR011761	ATP-grasp fold
      1 IPR011704	ATPase, dynein-related, AAA domain
      1 IPR011645	Haem NO binding associated
      1 IPR011626	Alpha-macroglobulin-like, TED domain
      1 IPR011057	Mss4-like superfamily
      1 IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily
      1 IPR011042	Six-bladed beta-propeller, TolB-like
      1 IPR011012	Longin-like domain superfamily
      1 IPR011011	Zinc finger, FYVE/PHD-type
      1 IPR011010	DNA breaking-rejoining enzyme, catalytic core
      1 IPR011004	Trimeric LpxA-like superfamily
      1 IPR010994	RuvA domain 2-like
      1 IPR010987	Glutathione S-transferase, C-terminal-like
      1 IPR010912	Spen paralogue/orthologue C-terminal, metazoa
      1 IPR010703	Dedicator of cytokinesis, C-terminal
      1 IPR010281	Protein of unknown function DUF885
      1 IPR009836	Glycine-rich domain-containing protein-like
      1 IPR009535	Phospholipase C-beta, conserved site
      1 IPR009533	FAM107
      1 IPR009110	Nuclear receptor coactivator, interlocking
      1 IPR009075	Acyl-CoA dehydrogenase/oxidase C-terminal
      1 IPR009050	Globin-like superfamily
      1 IPR009028	Coatomer/calthrin adaptor appendage, C-terminal subdomain
      1 IPR009008	Valyl/Leucyl/Isoleucyl-tRNA synthetase, editing domain
      1 IPR008967	p53-like transcription factor, DNA-binding
      1 IPR008962	PapD-like superfamily
      1 IPR008914	Phosphatidylethanolamine-binding protein
      1 IPR008775	Phytanoyl-CoA dioxygenase
      1 IPR008758	Peptidase S28
      1 IPR008676	MRG
      1 IPR008493	Domain of unknown function DUF775
      1 IPR008340	Dishevelled-1
      1 IPR008266	Tyrosine-protein kinase, active site
      1 IPR008050	DNA replication licensing factor Mcm7
      1 IPR007863	Peptidase M16, C-terminal
      1 IPR007862	Adenylate kinase, active site lid domain
      1 IPR007365	Transferrin receptor-like, dimerisation domain
      1 IPR007265	Conserved oligomeric Golgi complex, subunit 3
      1 IPR007243	Atg6/Beclin
      1 IPR007207	CCR4-Not complex component, Not N-terminal domain
      1 IPR007123	Gelsolin-like domain
      1 IPR007120	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
      1 IPR007074	LicD family
      1 IPR007042	SERRATE/Ars2 , C-terminal
      1 IPR006933	HAP1, N-terminal
      1 IPR006735	Replication termination factor 2
      1 IPR006693	Partial AB-hydrolase lipase domain
      1 IPR006602	Uncharacterised domain DM10
      1 IPR006259	Adenylate kinase subfamily
      1 IPR006222	Aminomethyltransferase, folate-binding domain
      1 IPR006148	Glucosamine/galactosamine-6-phosphate isomerase
      1 IPR006133	DNA-directed DNA polymerase, family B, exonuclease domain
      1 IPR006091	Acyl-CoA oxidase/dehydrogenase, central domain
      1 IPR006077	Vinculin/alpha-catenin
      1 IPR006068	Cation-transporting P-type ATPase, C-terminal
      1 IPR006016	UspA
      1 IPR005835	Nucleotidyl transferase domain
      1 IPR005817	Wnt
      1 IPR005804	Fatty acid desaturase domain
      1 IPR005650	BlaI transcriptional regulatory family
      1 IPR005633	Ribosomal protein L23/L25, N-terminal
      1 IPR005542	PBX
      1 IPR005517	Translation elongation factor EFG/EF2, domain IV
      1 IPR005108	HELP
      1 IPR005097	Saccharopine dehydrogenase, NADP binding domain
      1 IPR005052	Legume-like lectin
      1 IPR005046	Protein of unknown function DUF285
      1 IPR005031	Coenzyme Q-binding protein COQ10, START domain
      1 IPR004843	Calcineurin-like phosphoesterase domain, ApaH type
      1 IPR004837	Sodium/calcium exchanger membrane region
      1 IPR004835	Chitin synthase
      1 IPR004823	TATA box binding protein associated factor (TAF)
      1 IPR004302	Cellulose/chitin-binding protein, N-terminal
      1 IPR004161	Translation elongation factor EFTu-like, domain 2
      1 IPR004098	Prp18
      1 IPR004088	K Homology domain, type 1
      1 IPR004087	K Homology domain
      1 IPR004046	Glutathione S-transferase, C-terminal
      1 IPR004018	RPEL repeat
      1 IPR003960	ATPase, AAA-type, conserved site
      1 IPR003929	Calcium-activated potassium channel BK, alpha subunit
      1 IPR003859	Beta-1,4-galactosyltransferase
      1 IPR003841	Sodium-dependent phosphate transport protein
      1 IPR003806	ATP-grasp fold, PylC-type
      1 IPR003780	COX15/CtaA family
      1 IPR003674	Oligosaccharyl transferase, STT3 subunit
      1 IPR003593	AAA+ ATPase domain
      1 IPR003439	ABC transporter-like
      1 IPR003422	Cytochrome b-c1 complex, subunit 6
      1 IPR003392	Protein patched/dispatched
      1 IPR003094	Fructose-2,6-bisphosphatase
      1 IPR002939	Chaperone DnaJ, C-terminal
      1 IPR002890	Macroglobulin domain
      1 IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
      1 IPR002136	Ribosomal protein L4/L1e
      1 IPR002104	Integrase, catalytic domain
      1 IPR001969	Aspartic peptidase, active site
      1 IPR001965	Zinc finger, PHD-type
      1 IPR001898	Solute carrier family 13
      1 IPR001818	Peptidase M10, metallopeptidase
      1 IPR001753	Enoyl-CoA hydratase/isomerase
      1 IPR001711	Phospholipase C, phosphatidylinositol-specific, Y domain
      1 IPR001451	Hexapeptide repeat
      1 IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site
      1 IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
      1 IPR001373	Cullin, N-terminal
      1 IPR001303	Class II aldolase/adducin N-terminal
